,Unnamed: 0,rating,review_id,book_id,user_id,review,review_clean,camel_sentiment,camel_score,gt_sentiment,rating_normalized,sentiment_score,final_score,len_chars,len_words,num_exclam,num_qmark,len_chars_norm,len_words_norm,num_exclam_norm,num_qmark_norm
0,0,2.0,1665743403,21435637,13637412,قرأتها من فترة طويلة و لا يحضرني فيها الا اعجابي بالجانب الانساني المكنون بداخلها . اذكر اني شعرت ببعض الملل اثناء قراءتي ربما تكون الرواية خدمت القضية اكثر من القارئ.,قراتها من فترة طويلة و لا يحضرني فيها الا اعجابي بالجانب الانساني المكنون بداخلها . اذكر اني شعرت ببعض الملل اثناء قراءتي ربما تكون الرواية خدمت القضية اكثر من القارئ.,0,0.3805191218852997,-1,0.25,0.1902595609426498,1.1006489023566246,167,30.0,0.0,0.0,0.0082627230145781,0.0079365079365079,0.0,0.0
1,1,2.0,1664872313,20015365,13637412,"كان نفسي احب الرواية دي، أغلب اصدقائي اللي قرأوها وصفوها بإنها مش أقل من رائعة وانها واقعية جدا ومؤثرة. أنا حسيتها خيال علمي. راشد طول الرواية اتعامل على انه بطل استحمل نتيجة افعاله ووقف ضد اهله وكان شجاع ومؤمن بالعدالة والخ.بس انا مقدرتش اشوفه غير بني آدم مستسهر استغل الخدامة لاشباع رغباته الدنيئة، وانه يدفع التمن دي حاجة واجبة عليه مش نفحة من كرم اخلاقه. غنيمة مش هاممها غير كلام فلان وعلان ودي كانت حاجة سخيفة جدا، اخواته تافهين """"ما عدا هند"""" ومش هاممهم غير كلام ازواجهم، حاجة تشل يعني -_- الخدم كانوا فضائيين برضه وبيستحملوا المعاملة السيئة بكل تسامح وطيبة -_- وسبحان الله ابن الجيران طلع واحد من الناس اللي سافرت الفليبين وقابلت هوزيه! شوف القدر يا اخي. وقع الكتاب كان بطيء جدا، قريته بسرعة عشان اخلص منه مش عشان هو قد ايه مشوق. الصراع ما كنش بالقوة اللي اتوقعتها، اهله مش عايزين يعترفوا بيه؟ ما في داهية، ده مش هاينفي انه مواطن كويتي ومن حقه يلاقي شغل ويعيش كبني آدم عادي، جاب العار للاسرة؟ نفس الاجابة. هوزيه ذات نفسه حسيته انهزامي جدا، كان ممكن يتعلم عربي في الفترة اللي عاشها في الكويت، كان ممكن يدور على شغل تاني بدل ما يعيش عالة على صديقه، كان ممكن يروح اي مدينة تانية ويبدأ حياة جديدة، هو مش شجرة!. وبعدين ايه جو الكويت مش عايزاني دي؟! دراما وكلام فارغ. حتة غسان اتقلبت بسرعة بالعفو والسماح، ولو اني اشك ان نيته فعلا ماكنتش كويسة والا ماكنش سكت. اتوقعت اشوف صراع ديني اكتر، بس بشكل عام عجبتني الرسالة اللي حب يوصلها وهي ان الاديان كلها فكرتها واحدة وان ربنا ممكن توصله باي طريقة. بس في الاخر معرفتش هو استقر على ايه. الخاتمة كانت جدا، كنت مستنية خطاب يخليني ارتعش او لقاء فيه عياط كتير وندم ودراما، او اي خطوة مؤثرة غير انه يرجع بلده ويتجوز الهبلة ميرلا ويجيب عيل يسميه على اسم ابوه، اللي هو بذمتك؟! ما كان من الاول مش بعد 400 صفحة!. وبمناسبة الهبل امه هبلة برضه ورفعت سقف توقعاته اللي وقعت فوق دماغه في الاخر، ده غير انها حبت بني ادم حقير. وحتة انه كتب حكايته بالفلبيني وترجمها صحبه وكلمة المترجم في الاول دي حسيتها حركة ماسخة ملهاش طعم، جدا. مفيش حاجة عجبتني؟. لا طبعا فيه، حبيت بيدرو """"اللي هو شخصية ثانوية اصلا"""" وادريان """"حزنت عليه جدا"""" والاصدقاء الكويتيين اللي اتعرف عليهم في الفلبين، ادوا شوية حياة للكتاب الميت ده. ممكن حد يعترض ويقول ده اللي بيخلي الرواية واقعية، هاقوله ان الواقع مشوق اكتر من كده الحقيقة.",كان نفسي احب الرواية دي، اغلب اصدقائي اللي قراوها وصفوها بانها مش اقل من رائعة وانها واقعية جدا ومؤثرة. انا حسيتها خيال علمي. راشد طول الرواية اتعامل على انه بطل استحمل نتيجة افعاله ووقف ضد اهله وكان شجاع ومؤمن بالعدالة والخ.بس انا مقدرتش اشوفه غير بني ادم مستسهر استغل الخدامة لاشباع رغباته الدنيئة، وانه يدفع التمن دي حاجة واجبة عليه مش نفحة من كرم اخلاقه. غنيمة مش هاممها غير كلام فلان وعلان ودي كانت حاجة سخيفة جدا، اخواته تافهين ما عدا هند ومش هاممهم غير كلام ازواجهم، حاجة تشل يعني الخدم كانوا فضائيين برضه وبيستحملوا المعاملة السيئة بكل تسامح وطيبة وسبحان الله ابن الجيران طلع واحد من الناس اللي سافرت الفليبين وقابلت هوزيه! شوف القدر يا اخي. وقع الكتاب كان بطيء جدا، قريته بسرعة عشان اخلص منه مش عشان هو قد ايه مشوق. الصراع ما كنش بالقوة اللي اتوقعتها، اهله مش عايزين يعترفوا بيه؟ ما في داهية، ده مش هاينفي انه مواطن كويتي ومن حقه يلاقي شغل ويعيش كبني ادم عادي، جاب العار للاسرة؟ نفس الاجابة. هوزيه ذات نفسه حسيته انهزامي جدا، كان ممكن يتعلم عربي في الفترة اللي عاشها في الكويت، كان ممكن يدور على شغل تاني بدل ما يعيش عالة على صديقه، كان ممكن يروح اي مدينة تانية ويبدا حياة جديدة، هو مش شجرة!. وبعدين ايه جو الكويت مش عايزاني دي؟! دراما وكلام فارغ. حتة غسان اتقلبت بسرعة بالعفو والسماح، ولو اني اشك ان نيته فعلا ماكنتش كويسة والا ماكنش سكت. اتوقعت اشوف صراع ديني اكتر، بس بشكل عام عجبتني الرسالة اللي حب يوصلها وهي ان الاديان كلها فكرتها واحدة وان ربنا ممكن توصله باي طريقة. بس في الاخر معرفتش هو استقر على ايه. الخاتمة كانت جدا، كنت مستنية خطاب يخليني ارتعش او لقاء فيه عياط كتير وندم ودراما، او اي خطوة مؤثرة غير انه يرجع بلده ويتجوز الهبلة ميرلا ويجيب عيل يسميه على اسم ابوه، اللي هو بذمتك؟! ما كان من الاول مش بعد صفحة!. وبمناسبة الهبل امه هبلة برضه ورفعت سقف توقعاته اللي وقعت فوق دماغه في الاخر، ده غير انها حبت بني ادم حقير. وحتة انه كتب حكايته بالفلبيني وترجمها صحبه وكلمة المترجم في الاول دي حسيتها حركة ماسخة ملهاش طعم، جدا. مفيش حاجة عجبتني؟. لا طبعا فيه، حبيت بيدرو اللي هو شخصية ثانوية اصلا وادريان حزنت عليه جدا والاصدقاء الكويتيين اللي اتعرف عليهم في الفلبين، ادوا شوية حياة للكتاب الميت ده. ممكن حد يعترض ويقول ده اللي بيخلي الرواية واقعية، هاقوله ان الواقع مشوق اكتر من كده الحقيقة.,-1,0.9842074513435364,-1,0.25,0.0,0.625,2107,394.0,5.0,0.0,0.1103626124940792,0.1075533661740558,0.0166666666666666,0.0
2,2,2.0,1659286461,56517018,13637412,عملوا منها مسلسل. اجوف المسلسل ولا اقرى الرواية. محتار !!!,عملوا منها مسلسل. اجوف المسلسل ولا اقرى الرواية. محتار !,-1,0.6444284915924072,-1,0.25,0.0,0.625,56,10.0,3.0,0.0,0.0024209252144623,0.0024630541871921,0.01,0.0
3,3,2.0,1657686339,22103652,13637412,لطيفه :). كأنك بتتفرج ع مسلسل بس نوعا ما لطيف,لطيفه . كانك بتتفرج ع مسلسل بس نوعا ما لطيف,1,0.9597551226615906,-1,0.25,0.9597551226615906,3.0243878066539764,43,10.0,0.0,0.0,0.0017367506973317,0.0024630541871921,0.0,0.0
4,4,2.0,1657401919,56445490,13637412,"الرواية جميلة تحمل معاني ورسالات كثيرة اراد الكاتب من ورائها ايصال فكرة لنا لنبتعد فيها عن العنصرية ونركز على المعنى الحقيقي للانسانية وان الحرية شيء مهم جدا لكل شخص وحتى الابتعاد عن التفريق بين """"مجهولين الآباء"""". ربما يستطيع التحسين من طريقة السرد لروايته لاني مللت في بعض الاحيان وانا اقرأها",الرواية جميلة تحمل معاني ورسالات كثيرة اراد الكاتب من ورائها ايصال فكرة لنا لنبتعد فيها عن العنصرية ونركز على المعنى الحقيقي للانسانية وان الحرية شيء مهم جدا لكل شخص وحتى الابتعاد عن التفريق بين مجهولين الاباء . ربما يستطيع التحسين من طريقة السرد لروايته لاني مللت في بعض الاحيان وانا اقراها,1,0.8246328234672546,-1,0.25,0.8246328234672546,2.6865820586681366,291,51.0,0.0,0.0,0.0147886953318246,0.0136836343732895,0.0,0.0
5,5,2.0,1656249882,50139854,13637412,توقعت شي أفضل على السمعه وعلى كميه المبيعات ما شا الله، استمتعت بصفحات قليلة لكن اغلبيه الكتاب كان مكرر ومتوقع ولم يضف لي شيء,توقعت شي افضل على السمعه وعلى كميه المبيعات ما شا الله، استمتعت بصفحات قليلة لكن اغلبيه الكتاب كان مكرر ومتوقع ولم يضف لي شيء,1,0.9939040541648864,-1,0.25,0.9939040541648864,3.109760135412216,125,24.0,0.0,0.0,0.0060523130361559,0.0062944718117131,0.0,0.0
6,6,2.0,1637355928,4075295,13637412,قررت قراءة الكتاب بعد ضغط كبير من متابعيني و زملائي القراء لحثي على قراءتها . و احب اشكر اخي علي من البحرين بتوفيره لي النسخة الالكترونية من الكتاب حتى يسهل علي قراءتها. بداية الكتاب كانت جيدة و كنت متأملة جدا فيها لانني كنت مهتمة في القضية المعروضة في الكتاب بما انها قضية انسانية غير مستهلكة في وسط الكتب العربية . اول مشكلة واجهتني مع الكتاب منذ الصفحات الاولى هي اسلوب السرد الذي رأيته مزعج حيث كان التنقل بين الاحداث عشوائي بعض الشيء و لم اعرف متى ستنتهي المقدمة في الماضي حتى نبدأ الاحداث الحقيقية. بدأت الاحداث تتحسن بعد حوالي مئتين صفحة بعد ان وصل عيسى الى الكويت و رأينا معاناته مع عائلة الطاروف و مشاكله معها و كيف نظرة المجتمع له . اسلوب السرد تحسن كثيرا و بدأت استمتع بالاحداث الى حد ما رغم كل شيء . هذا الاستمتاع دام سبعين صفحة بعدها فقدت اهتمامي تماما بما يحدث . معلومات كثيرة لا علاقة لها بالاحداث . حوارات جيدة لكنها لا تكفي لتشد انتباهي . الرواية مليئة بالجمل التي تصلح للاقتباسات لوضعها في وسائل التواصل الاجتماعي و هذا سبب حشو غير طبيعي للاحداث و جعلني اتملل كثيرا و افقد اهتمامي بعالم القصة بسبب رتابة سرد الاحداث و عدم وجود حدث ننتظره او تصور في كيفية انتهاء معاناة عيسى مع انسانيته و انتمائه . مع قرب انتهاء صفحات الرواية فقدت القصة مغزاها و اصبح هدفها زيادة الدراما و التعاسة لتبرير قرار عيسى النهائي لا غير مما جعلني استاء لتغير مجرى الاحداث رغم رتابتها بهذه الطريقة التي رأيتها مزعجة. نهاية القصة هي قصة أخرى . كانت خيبة امل كبيرة بالنسبة لي . لا اعتراض لي على النهاية نفسها بقدر عدم منطقيتها و لا تفسير لحدث مهم يخص ميرلا . اعطيت الرواية نقطتين للفكرة و بعض المشاهد التي وجدتها مسلية . حاولت كثيرا ان استمتع بالكتاب و اقيمه تقييم اعلى لكن مللي منعني من ذلك,قررت قراءة الكتاب بعد ضغط كبير من متابعيني و زملائي القراء لحثي على قراءتها . و احب اشكر اخي علي من البحرين بتوفيره لي النسخة الالكترونية من الكتاب حتى يسهل علي قراءتها. بداية الكتاب كانت جيدة و كنت متاملة جدا فيها لانني كنت مهتمة في القضية المعروضة في الكتاب بما انها قضية انسانية غير مستهلكة في وسط الكتب العربية . اول مشكلة واجهتني مع الكتاب منذ الصفحات الاولى هي اسلوب السرد الذي رايته مزعج حيث كان التنقل بين الاحداث عشوائي بعض الشيء و لم اعرف متى ستنتهي المقدمة في الماضي حتى نبدا الاحداث الحقيقية. بدات الاحداث تتحسن بعد حوالي مئتين صفحة بعد ان وصل عيسى الى الكويت و راينا معاناته مع عائلة الطاروف و مشاكله معها و كيف نظرة المجتمع له . اسلوب السرد تحسن كثيرا و بدات استمتع بالاحداث الى حد ما رغم كل شيء . هذا الاستمتاع دام سبعين صفحة بعدها فقدت اهتمامي تماما بما يحدث . معلومات كثيرة لا علاقة لها بالاحداث . حوارات جيدة لكنها لا تكفي لتشد انتباهي . الرواية مليئة بالجمل التي تصلح للاقتباسات لوضعها في وسائل التواصل الاجتماعي و هذا سبب حشو غير طبيعي للاحداث و جعلني اتملل كثيرا و افقد اهتمامي بعالم القصة بسبب رتابة سرد الاحداث و عدم وجود حدث ننتظره او تصور في كيفية انتهاء معاناة عيسى مع انسانيته و انتمائه . مع قرب انتهاء صفحات الرواية فقدت القصة مغزاها و اصبح هدفها زيادة الدراما و التعاسة لتبرير قرار عيسى النهائي لا غير مما جعلني استاء لتغير مجرى الاحداث رغم رتابتها بهذه الطريقة التي رايتها مزعجة. نهاية القصة هي قصة اخرى . كانت خيبة امل كبيرة بالنسبة لي . لا اعتراض لي على النهاية نفسها بقدر عدم منطقيتها و لا تفسير لحدث مهم يخص ميرلا . اعطيت الرواية نقطتين للفكرة و بعض المشاهد التي وجدتها مسلية . حاولت كثيرا ان استمتع بالكتاب و اقيمه تقييم اعلى لكن مللي منعني من ذلك,-1,0.8689875602722168,-1,0.25,0.0,0.625,1582,301.0,0.0,0.0,0.0827324877638019,0.0821018062397372,0.0,0.0
7,7,1.0,1626112330,54489123,13637412,من اجمل ما قرأت *!,من اجمل ما قرات !,1,0.9131956696510316,-1,0.0,0.9131956696510316,2.282989174127579,17,5.0,1.0,0.0,0.0003684016630703,0.0010946907498631,0.0033333333333333,0.0
8,8,2.0,1609407665,29434416,13637412,العزلة زاوية صغيرة يقف فيها المرء امام عقلِهِ,العزلة زاوية صغيرة يقف فيها المرء امام عقله,0,0.5118424892425537,-1,0.25,0.2559212446212768,1.264803111553192,43,8.0,0.0,0.0,0.0017367506973317,0.0019157088122605,0.0,0.0
9,9,1.0,1602143529,36344385,13637412,طيب انا لسا مخلصها من فتره قريبه . وحشه جدا . معرفش خدت البوكر ع ايه .بس ممكن تبقي اخدتها علي اكتر سيره ذاتيه ممله لشخص فلبيني خيالي ممل غبي ومتخلف. بتكلم بكل موضوعيه,طيب انا لسا مخلصها من فتره قريبه . وحشه جدا . معرفش خدت البوكر ع ايه .بس ممكن تبقي اخدتها علي اكتر سيره ذاتيه ممله لشخص فلبيني خيالي ممل غبي ومتخلف. بتكلم بكل موضوعيه,-1,0.9873791337013244,-1,0.0,0.0,0.0,166,34.0,0.0,0.0,0.0082100942055681,0.0090311986863711,0.0,0.0
